"﻿""Any""","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Superfície_mitjana","Nombre"
2020,4,8,"Nou Barris",45,"Porta","m2_construïts",61.7
2020,4,8,"Nou Barris",46,"el Turó de la Peira","m2_construïts",61.1
2020,4,8,"Nou Barris",47,"Can Peguera","m2_construïts",""
2020,4,8,"Nou Barris",48,"la Guineueta","m2_construïts",71.8
2020,4,8,"Nou Barris",49,"Canyelles","m2_construïts",80.9
2020,4,8,"Nou Barris",50,"les Roquetes","m2_construïts",59.4
2020,4,8,"Nou Barris",51,"Verdun","m2_construïts",53.8
2020,4,8,"Nou Barris",52,"la Prosperitat","m2_construïts",57.6
2020,4,8,"Nou Barris",53,"la Trinitat Nova","m2_construïts",51.3
2020,4,8,"Nou Barris",54,"Torre Baró","m2_construïts",53.0
2020,4,8,"Nou Barris",55,"Ciutat Meridiana","m2_construïts",58.8
2020,4,8,"Nou Barris",56,"Vallbona","m2_construïts",69.0
2020,4,9,"Sant Andreu",57,"la Trinitat Vella","m2_construïts",57.3
2020,4,9,"Sant Andreu",58,"Baró de Viver","m2_construïts",79.0
2020,4,9,"Sant Andreu",59,"el Bon Pastor","m2_construïts",67.3
2020,4,9,"Sant Andreu",60,"Sant Andreu","m2_construïts",67.5
2020,4,9,"Sant Andreu",61,"la Sagrera","m2_construïts",63.8
2020,4,9,"Sant Andreu",62,"el Congrés i els Indians","m2_construïts",64.9
2020,4,9,"Sant Andreu",63,"Navas","m2_construïts",69.9
2020,4,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","m2_construïts",66.1
2020,4,10,"Sant Martí",65,"el Clot","m2_construïts",69.6
2020,4,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","m2_construïts",71.1
2020,4,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","m2_construïts",87.7
2020,4,10,"Sant Martí",68,"el Poblenou","m2_construïts",69.9
2020,4,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","m2_construïts",82.0
2020,4,10,"Sant Martí",70,"el Besòs i el Maresme","m2_construïts",62.7
2020,4,10,"Sant Martí",71,"Provençals del Poblenou","m2_construïts",69.9
2020,4,10,"Sant Martí",72,"Sant Martí de Provençals","m2_construïts",70.5
