"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Tipus_sup","Superficie_m2"
2020,1,"Ciutat Vella",1,"el Raval",1,"Superfície_locals",146027
2020,1,"Ciutat Vella",1,"el Raval",2,"Superfície_locals",97468
2020,1,"Ciutat Vella",1,"el Raval",3,"Superfície_locals",131965
2020,1,"Ciutat Vella",1,"el Raval",4,"Superfície_locals",199366
2020,1,"Ciutat Vella",1,"el Raval",5,"Superfície_locals",209084
2020,1,"Ciutat Vella",1,"el Raval",6,"Superfície_locals",118839
2020,1,"Ciutat Vella",1,"el Raval",7,"Superfície_locals",104871
2020,1,"Ciutat Vella",1,"el Raval",8,"Superfície_locals",88381
2020,1,"Ciutat Vella",1,"el Raval",9,"Superfície_locals",81678
2020,1,"Ciutat Vella",1,"el Raval",10,"Superfície_locals",85956
2020,1,"Ciutat Vella",1,"el Raval",11,"Superfície_locals",119041
2020,1,"Ciutat Vella",1,"el Raval",12,"Superfície_locals",73056
2020,1,"Ciutat Vella",1,"el Raval",13,"Superfície_locals",57497
2020,1,"Ciutat Vella",1,"el Raval",14,"Superfície_locals",57843
2020,1,"Ciutat Vella",1,"el Raval",15,"Superfície_locals",84084
2020,1,"Ciutat Vella",1,"el Raval",16,"Superfície_locals",79044
2020,1,"Ciutat Vella",1,"el Raval",17,"Superfície_locals",69993
2020,1,"Ciutat Vella",1,"el Raval",18,"Superfície_locals",126681
2020,1,"Ciutat Vella",1,"el Raval",19,"Superfície_locals",191845
2020,1,"Ciutat Vella",1,"el Raval",20,"Superfície_locals",247061
2020,1,"Ciutat Vella",1,"el Raval",21,"Superfície_locals",271297
2020,1,"Ciutat Vella",2,"el Gòtic",22,"Superfície_locals",295115
2020,1,"Ciutat Vella",2,"el Gòtic",23,"Superfície_locals",342806
2020,1,"Ciutat Vella",2,"el Gòtic",25,"Superfície_locals",226389
2020,1,"Ciutat Vella",2,"el Gòtic",26,"Superfície_locals",201036
2020,1,"Ciutat Vella",2,"el Gòtic",27,"Superfície_locals",176273
2020,1,"Ciutat Vella",2,"el Gòtic",28,"Superfície_locals",232814
2020,1,"Ciutat Vella",2,"el Gòtic",29,"Superfície_locals",150153
2020,1,"Ciutat Vella",2,"el Gòtic",30,"Superfície_locals",264651
2020,1,"Ciutat Vella",2,"el Gòtic",31,"Superfície_locals",145829
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"Superfície_locals",89969
2020,1,"Ciutat Vella",3,"la Barceloneta",33,"Superfície_locals",35062
2020,1,"Ciutat Vella",3,"la Barceloneta",34,"Superfície_locals",28241
2020,1,"Ciutat Vella",3,"la Barceloneta",35,"Superfície_locals",37102
2020,1,"Ciutat Vella",3,"la Barceloneta",36,"Superfície_locals",718696
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"Superfície_locals",48230
2020,1,"Ciutat Vella",3,"la Barceloneta",38,"Superfície_locals",38724
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"Superfície_locals",54241
2020,1,"Ciutat Vella",3,"la Barceloneta",40,"Superfície_locals",43708
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"Superfície_locals",45944
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"Superfície_locals",92413
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"Superfície_locals",332175
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"Superfície_locals",128804
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"Superfície_locals",150489
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"Superfície_locals",185541
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"Superfície_locals",163841
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"Superfície_locals",103656
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"Superfície_locals",100166
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,"Superfície_locals",98172
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,"Superfície_locals",84221
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,"Superfície_locals",295025
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"Superfície_locals",100110
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,"Superfície_locals",68304
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,"Superfície_locals",144728
2020,2,"Eixample",5,"el Fort Pienc",1,"Superfície_locals",161211
2020,2,"Eixample",5,"el Fort Pienc",2,"Superfície_locals",102522
2020,2,"Eixample",5,"el Fort Pienc",3,"Superfície_locals",69593
2020,2,"Eixample",5,"el Fort Pienc",4,"Superfície_locals",78796
2020,2,"Eixample",5,"el Fort Pienc",5,"Superfície_locals",155293
2020,2,"Eixample",5,"el Fort Pienc",6,"Superfície_locals",109448
2020,2,"Eixample",5,"el Fort Pienc",7,"Superfície_locals",94579
2020,2,"Eixample",5,"el Fort Pienc",8,"Superfície_locals",143805
2020,2,"Eixample",5,"el Fort Pienc",9,"Superfície_locals",123972
2020,2,"Eixample",5,"el Fort Pienc",10,"Superfície_locals",71196
2020,2,"Eixample",5,"el Fort Pienc",11,"Superfície_locals",61774
2020,2,"Eixample",5,"el Fort Pienc",12,"Superfície_locals",85193
2020,2,"Eixample",5,"el Fort Pienc",13,"Superfície_locals",112411
2020,2,"Eixample",5,"el Fort Pienc",14,"Superfície_locals",60339
2020,2,"Eixample",5,"el Fort Pienc",15,"Superfície_locals",87108
2020,2,"Eixample",5,"el Fort Pienc",16,"Superfície_locals",127972
2020,2,"Eixample",5,"el Fort Pienc",17,"Superfície_locals",131445
2020,2,"Eixample",5,"el Fort Pienc",18,"Superfície_locals",107240
2020,2,"Eixample",5,"el Fort Pienc",19,"Superfície_locals",120803
2020,2,"Eixample",5,"el Fort Pienc",20,"Superfície_locals",99841
2020,2,"Eixample",6,"la Sagrada Família",21,"Superfície_locals",70691
2020,2,"Eixample",6,"la Sagrada Família",22,"Superfície_locals",84793
2020,2,"Eixample",6,"la Sagrada Família",23,"Superfície_locals",57883
2020,2,"Eixample",6,"la Sagrada Família",24,"Superfície_locals",58665
2020,2,"Eixample",6,"la Sagrada Família",25,"Superfície_locals",59241
2020,2,"Eixample",6,"la Sagrada Família",26,"Superfície_locals",122545
2020,2,"Eixample",6,"la Sagrada Família",27,"Superfície_locals",111023
2020,2,"Eixample",6,"la Sagrada Família",28,"Superfície_locals",118275
2020,2,"Eixample",6,"la Sagrada Família",29,"Superfície_locals",63869
2020,2,"Eixample",6,"la Sagrada Família",30,"Superfície_locals",64126
2020,2,"Eixample",6,"la Sagrada Família",31,"Superfície_locals",67908
2020,2,"Eixample",6,"la Sagrada Família",32,"Superfície_locals",87964
2020,2,"Eixample",6,"la Sagrada Família",33,"Superfície_locals",57472
2020,2,"Eixample",6,"la Sagrada Família",34,"Superfície_locals",53925
2020,2,"Eixample",6,"la Sagrada Família",35,"Superfície_locals",71291
2020,2,"Eixample",6,"la Sagrada Família",36,"Superfície_locals",74653
2020,2,"Eixample",6,"la Sagrada Família",37,"Superfície_locals",68881
2020,2,"Eixample",6,"la Sagrada Família",38,"Superfície_locals",155313
2020,2,"Eixample",6,"la Sagrada Família",39,"Superfície_locals",81753
2020,2,"Eixample",6,"la Sagrada Família",40,"Superfície_locals",73099
2020,2,"Eixample",6,"la Sagrada Família",41,"Superfície_locals",106874
2020,2,"Eixample",6,"la Sagrada Família",42,"Superfície_locals",106914
2020,2,"Eixample",6,"la Sagrada Família",43,"Superfície_locals",83130
2020,2,"Eixample",6,"la Sagrada Família",44,"Superfície_locals",69867
2020,2,"Eixample",6,"la Sagrada Família",45,"Superfície_locals",66365
2020,2,"Eixample",6,"la Sagrada Família",46,"Superfície_locals",85199
2020,2,"Eixample",6,"la Sagrada Família",47,"Superfície_locals",100818
2020,2,"Eixample",6,"la Sagrada Família",48,"Superfície_locals",76653
2020,2,"Eixample",6,"la Sagrada Família",49,"Superfície_locals",131622
2020,2,"Eixample",6,"la Sagrada Família",50,"Superfície_locals",91631
2020,2,"Eixample",6,"la Sagrada Família",51,"Superfície_locals",112712
2020,2,"Eixample",6,"la Sagrada Família",52,"Superfície_locals",97776
2020,2,"Eixample",6,"la Sagrada Família",53,"Superfície_locals",135182
2020,2,"Eixample",6,"la Sagrada Família",54,"Superfície_locals",126979
2020,2,"Eixample",7,"la Dreta de l'Eixample",55,"Superfície_locals",108593
2020,2,"Eixample",7,"la Dreta de l'Eixample",56,"Superfície_locals",163168
2020,2,"Eixample",7,"la Dreta de l'Eixample",57,"Superfície_locals",98210
2020,2,"Eixample",7,"la Dreta de l'Eixample",58,"Superfície_locals",99952
2020,2,"Eixample",7,"la Dreta de l'Eixample",59,"Superfície_locals",133378
2020,2,"Eixample",7,"la Dreta de l'Eixample",60,"Superfície_locals",141179
2020,2,"Eixample",7,"la Dreta de l'Eixample",61,"Superfície_locals",112058
2020,2,"Eixample",7,"la Dreta de l'Eixample",62,"Superfície_locals",128716
2020,2,"Eixample",7,"la Dreta de l'Eixample",63,"Superfície_locals",146141
2020,2,"Eixample",7,"la Dreta de l'Eixample",64,"Superfície_locals",136886
2020,2,"Eixample",7,"la Dreta de l'Eixample",65,"Superfície_locals",177854
2020,2,"Eixample",7,"la Dreta de l'Eixample",66,"Superfície_locals",131883
2020,2,"Eixample",7,"la Dreta de l'Eixample",67,"Superfície_locals",102946
2020,2,"Eixample",7,"la Dreta de l'Eixample",68,"Superfície_locals",107625
2020,2,"Eixample",7,"la Dreta de l'Eixample",69,"Superfície_locals",148788
2020,2,"Eixample",7,"la Dreta de l'Eixample",70,"Superfície_locals",158905
2020,2,"Eixample",7,"la Dreta de l'Eixample",71,"Superfície_locals",187330
2020,2,"Eixample",7,"la Dreta de l'Eixample",72,"Superfície_locals",167760
2020,2,"Eixample",7,"la Dreta de l'Eixample",73,"Superfície_locals",204131
2020,2,"Eixample",7,"la Dreta de l'Eixample",74,"Superfície_locals",179322
2020,2,"Eixample",7,"la Dreta de l'Eixample",75,"Superfície_locals",182413
2020,2,"Eixample",7,"la Dreta de l'Eixample",76,"Superfície_locals",252571
2020,2,"Eixample",7,"la Dreta de l'Eixample",77,"Superfície_locals",824204
2020,2,"Eixample",7,"la Dreta de l'Eixample",78,"Superfície_locals",443149
2020,2,"Eixample",7,"la Dreta de l'Eixample",79,"Superfície_locals",502797
2020,2,"Eixample",7,"la Dreta de l'Eixample",80,"Superfície_locals",430548
2020,2,"Eixample",7,"la Dreta de l'Eixample",81,"Superfície_locals",462496
2020,2,"Eixample",7,"la Dreta de l'Eixample",82,"Superfície_locals",216979
2020,2,"Eixample",7,"la Dreta de l'Eixample",83,"Superfície_locals",461500
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",84,"Superfície_locals",228407
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",85,"Superfície_locals",248227
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86,"Superfície_locals",148421
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",87,"Superfície_locals",113174
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",88,"Superfície_locals",193973
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",89,"Superfície_locals",188198
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",90,"Superfície_locals",161056
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",91,"Superfície_locals",243663
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",92,"Superfície_locals",188716
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",93,"Superfície_locals",136040
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",94,"Superfície_locals",142239
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",95,"Superfície_locals",108976
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",96,"Superfície_locals",110683
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",97,"Superfície_locals",72768
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",98,"Superfície_locals",118426
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",99,"Superfície_locals",103143
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",100,"Superfície_locals",96714
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",101,"Superfície_locals",141874
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",102,"Superfície_locals",121115
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",103,"Superfície_locals",256467
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",104,"Superfície_locals",90553
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",105,"Superfície_locals",136306
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",106,"Superfície_locals",126388
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",107,"Superfície_locals",162208
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",108,"Superfície_locals",217456
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",109,"Superfície_locals",166727
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",110,"Superfície_locals",289370
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",111,"Superfície_locals",113042
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",112,"Superfície_locals",103924
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",113,"Superfície_locals",170829
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",114,"Superfície_locals",105659
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",115,"Superfície_locals",66617
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",116,"Superfície_locals",69960
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",117,"Superfície_locals",81766
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",118,"Superfície_locals",125171
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",119,"Superfície_locals",78997
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",120,"Superfície_locals",69182
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",121,"Superfície_locals",152584
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",122,"Superfície_locals",78676
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",123,"Superfície_locals",60840
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",124,"Superfície_locals",78283
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",125,"Superfície_locals",97325
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",126,"Superfície_locals",136956
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",127,"Superfície_locals",149552
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",128,"Superfície_locals",66030
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",129,"Superfície_locals",95543
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",130,"Superfície_locals",131981
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",131,"Superfície_locals",69700
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",132,"Superfície_locals",63157
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",133,"Superfície_locals",57445
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",134,"Superfície_locals",75513
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",135,"Superfície_locals",130638
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",136,"Superfície_locals",53806
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",137,"Superfície_locals",97004
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",138,"Superfície_locals",127993
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",139,"Superfície_locals",106145
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",140,"Superfície_locals",111623
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",141,"Superfície_locals",75565
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",142,"Superfície_locals",114992
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",143,"Superfície_locals",98476
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",144,"Superfície_locals",111836
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",145,"Superfície_locals",111954
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",146,"Superfície_locals",70194
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",147,"Superfície_locals",121472
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",148,"Superfície_locals",114139
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample",149,"Superfície_locals",231909
2020,2,"Eixample",10,"Sant Antoni",150,"Superfície_locals",77753
2020,2,"Eixample",10,"Sant Antoni",151,"Superfície_locals",96124
2020,2,"Eixample",10,"Sant Antoni",152,"Superfície_locals",77675
2020,2,"Eixample",10,"Sant Antoni",153,"Superfície_locals",84882
2020,2,"Eixample",10,"Sant Antoni",154,"Superfície_locals",58356
2020,2,"Eixample",10,"Sant Antoni",155,"Superfície_locals",93224
2020,2,"Eixample",10,"Sant Antoni",156,"Superfície_locals",74881
2020,2,"Eixample",10,"Sant Antoni",157,"Superfície_locals",57362
2020,2,"Eixample",10,"Sant Antoni",158,"Superfície_locals",118617
2020,2,"Eixample",10,"Sant Antoni",159,"Superfície_locals",132265
2020,2,"Eixample",10,"Sant Antoni",160,"Superfície_locals",129721
2020,2,"Eixample",10,"Sant Antoni",161,"Superfície_locals",67076
2020,2,"Eixample",10,"Sant Antoni",162,"Superfície_locals",65063
2020,2,"Eixample",10,"Sant Antoni",163,"Superfície_locals",135094
2020,2,"Eixample",10,"Sant Antoni",164,"Superfície_locals",163441
2020,2,"Eixample",10,"Sant Antoni",165,"Superfície_locals",120108
2020,2,"Eixample",10,"Sant Antoni",166,"Superfície_locals",150713
2020,2,"Eixample",10,"Sant Antoni",167,"Superfície_locals",129937
2020,2,"Eixample",10,"Sant Antoni",168,"Superfície_locals",145918
2020,2,"Eixample",10,"Sant Antoni",169,"Superfície_locals",98465
2020,2,"Eixample",10,"Sant Antoni",170,"Superfície_locals",88716
2020,2,"Eixample",10,"Sant Antoni",171,"Superfície_locals",86163
2020,2,"Eixample",10,"Sant Antoni",172,"Superfície_locals",96888
2020,2,"Eixample",10,"Sant Antoni",173,"Superfície_locals",88691
2020,3,"Sants-Montjuïc",11,"el Poble Sec",1,"Superfície_locals",86094
2020,3,"Sants-Montjuïc",11,"el Poble Sec",2,"Superfície_locals",82216
2020,3,"Sants-Montjuïc",11,"el Poble Sec",3,"Superfície_locals",56805
2020,3,"Sants-Montjuïc",11,"el Poble Sec",4,"Superfície_locals",73032
2020,3,"Sants-Montjuïc",11,"el Poble Sec",5,"Superfície_locals",154611
2020,3,"Sants-Montjuïc",11,"el Poble Sec",6,"Superfície_locals",54040
2020,3,"Sants-Montjuïc",11,"el Poble Sec",7,"Superfície_locals",65942
2020,3,"Sants-Montjuïc",11,"el Poble Sec",8,"Superfície_locals",48663
2020,3,"Sants-Montjuïc",11,"el Poble Sec",9,"Superfície_locals",57650
2020,3,"Sants-Montjuïc",11,"el Poble Sec",10,"Superfície_locals",70907
2020,3,"Sants-Montjuïc",11,"el Poble Sec",11,"Superfície_locals",60392
2020,3,"Sants-Montjuïc",11,"el Poble Sec",12,"Superfície_locals",90858
2020,3,"Sants-Montjuïc",11,"el Poble Sec",13,"Superfície_locals",63975
2020,3,"Sants-Montjuïc",11,"el Poble Sec",14,"Superfície_locals",63193
2020,3,"Sants-Montjuïc",11,"el Poble Sec",15,"Superfície_locals",130708
2020,3,"Sants-Montjuïc",11,"el Poble Sec",16,"Superfície_locals",73714
2020,3,"Sants-Montjuïc",11,"el Poble Sec",17,"Superfície_locals",62755
2020,3,"Sants-Montjuïc",11,"el Poble Sec",18,"Superfície_locals",68946
2020,3,"Sants-Montjuïc",11,"el Poble Sec",19,"Superfície_locals",135098
2020,3,"Sants-Montjuïc",11,"el Poble Sec",20,"Superfície_locals",106846
2020,3,"Sants-Montjuïc",11,"el Poble Sec",21,"Superfície_locals",54782
2020,3,"Sants-Montjuïc",11,"el Poble Sec",22,"Superfície_locals",64510
2020,3,"Sants-Montjuïc",11,"el Poble Sec",23,"Superfície_locals",65625
2020,3,"Sants-Montjuïc",11,"el Poble Sec",24,"Superfície_locals",728052
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",25,"Superfície_locals",2646876
2020,3,"Sants-Montjuïc",13,"la Marina de Port",26,"Superfície_locals",169091
2020,3,"Sants-Montjuïc",13,"la Marina de Port",27,"Superfície_locals",73910
2020,3,"Sants-Montjuïc",13,"la Marina de Port",28,"Superfície_locals",165536
2020,3,"Sants-Montjuïc",13,"la Marina de Port",29,"Superfície_locals",52120
2020,3,"Sants-Montjuïc",13,"la Marina de Port",30,"Superfície_locals",203816
2020,3,"Sants-Montjuïc",13,"la Marina de Port",31,"Superfície_locals",114426
2020,3,"Sants-Montjuïc",13,"la Marina de Port",32,"Superfície_locals",117736
2020,3,"Sants-Montjuïc",13,"la Marina de Port",33,"Superfície_locals",46955
2020,3,"Sants-Montjuïc",13,"la Marina de Port",34,"Superfície_locals",67656
2020,3,"Sants-Montjuïc",13,"la Marina de Port",35,"Superfície_locals",97395
2020,3,"Sants-Montjuïc",13,"la Marina de Port",36,"Superfície_locals",162803
2020,3,"Sants-Montjuïc",13,"la Marina de Port",37,"Superfície_locals",44574
2020,3,"Sants-Montjuïc",13,"la Marina de Port",38,"Superfície_locals",73647
2020,3,"Sants-Montjuïc",13,"la Marina de Port",39,"Superfície_locals",75583
2020,3,"Sants-Montjuïc",13,"la Marina de Port",211,"Superfície_locals",72186
2020,3,"Sants-Montjuïc",13,"la Marina de Port",212,"Superfície_locals",102389
2020,3,"Sants-Montjuïc",13,"la Marina de Port",213,"Superfície_locals",75220
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla",40,"Superfície_locals",90153
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla",41,"Superfície_locals",61175
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla",42,"Superfície_locals",77535
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla",43,"Superfície_locals",90599
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla",44,"Superfície_locals",87596
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla",45,"Superfície_locals",65305
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla",46,"Superfície_locals",94038
2020,3,"Sants-Montjuïc",15,"Hostafrancs",47,"Superfície_locals",158151
2020,3,"Sants-Montjuïc",15,"Hostafrancs",48,"Superfície_locals",207002
2020,3,"Sants-Montjuïc",15,"Hostafrancs",49,"Superfície_locals",90044
2020,3,"Sants-Montjuïc",15,"Hostafrancs",50,"Superfície_locals",96721
2020,3,"Sants-Montjuïc",15,"Hostafrancs",51,"Superfície_locals",86201
2020,3,"Sants-Montjuïc",15,"Hostafrancs",52,"Superfície_locals",72846
2020,3,"Sants-Montjuïc",15,"Hostafrancs",53,"Superfície_locals",118340
2020,3,"Sants-Montjuïc",15,"Hostafrancs",54,"Superfície_locals",91112
2020,3,"Sants-Montjuïc",15,"Hostafrancs",55,"Superfície_locals",96465
2020,3,"Sants-Montjuïc",15,"Hostafrancs",56,"Superfície_locals",39907
2020,3,"Sants-Montjuïc",16,"la Bordeta",57,"Superfície_locals",77480
2020,3,"Sants-Montjuïc",16,"la Bordeta",58,"Superfície_locals",110159
2020,3,"Sants-Montjuïc",16,"la Bordeta",59,"Superfície_locals",50347
2020,3,"Sants-Montjuïc",16,"la Bordeta",60,"Superfície_locals",66290
2020,3,"Sants-Montjuïc",16,"la Bordeta",61,"Superfície_locals",48496
2020,3,"Sants-Montjuïc",16,"la Bordeta",62,"Superfície_locals",68371
2020,3,"Sants-Montjuïc",16,"la Bordeta",63,"Superfície_locals",87490
2020,3,"Sants-Montjuïc",16,"la Bordeta",64,"Superfície_locals",132380
2020,3,"Sants-Montjuïc",16,"la Bordeta",65,"Superfície_locals",57344
2020,3,"Sants-Montjuïc",16,"la Bordeta",66,"Superfície_locals",100975
2020,3,"Sants-Montjuïc",16,"la Bordeta",67,"Superfície_locals",81586
2020,3,"Sants-Montjuïc",16,"la Bordeta",68,"Superfície_locals",48491
2020,3,"Sants-Montjuïc",16,"la Bordeta",69,"Superfície_locals",72098
2020,3,"Sants-Montjuïc",17,"Sants - Badal",70,"Superfície_locals",59988
2020,3,"Sants-Montjuïc",17,"Sants - Badal",71,"Superfície_locals",56084
2020,3,"Sants-Montjuïc",17,"Sants - Badal",72,"Superfície_locals",60399
2020,3,"Sants-Montjuïc",17,"Sants - Badal",73,"Superfície_locals",71232
2020,3,"Sants-Montjuïc",17,"Sants - Badal",74,"Superfície_locals",97632
2020,3,"Sants-Montjuïc",17,"Sants - Badal",75,"Superfície_locals",89884
2020,3,"Sants-Montjuïc",17,"Sants - Badal",76,"Superfície_locals",48696
2020,3,"Sants-Montjuïc",17,"Sants - Badal",77,"Superfície_locals",64199
2020,3,"Sants-Montjuïc",17,"Sants - Badal",78,"Superfície_locals",87914
2020,3,"Sants-Montjuïc",17,"Sants - Badal",79,"Superfície_locals",72976
2020,3,"Sants-Montjuïc",17,"Sants - Badal",80,"Superfície_locals",70007
2020,3,"Sants-Montjuïc",17,"Sants - Badal",81,"Superfície_locals",97117
2020,3,"Sants-Montjuïc",17,"Sants - Badal",82,"Superfície_locals",99523
2020,3,"Sants-Montjuïc",17,"Sants - Badal",83,"Superfície_locals",73766
2020,3,"Sants-Montjuïc",17,"Sants - Badal",84,"Superfície_locals",72274
2020,3,"Sants-Montjuïc",17,"Sants - Badal",85,"Superfície_locals",68173
2020,3,"Sants-Montjuïc",18,"Sants",86,"Superfície_locals",88851
2020,3,"Sants-Montjuïc",18,"Sants",87,"Superfície_locals",79818
2020,3,"Sants-Montjuïc",18,"Sants",88,"Superfície_locals",70076
2020,3,"Sants-Montjuïc",18,"Sants",89,"Superfície_locals",67351
2020,3,"Sants-Montjuïc",18,"Sants",90,"Superfície_locals",69602
2020,3,"Sants-Montjuïc",18,"Sants",91,"Superfície_locals",79062
2020,3,"Sants-Montjuïc",18,"Sants",92,"Superfície_locals",65100
2020,3,"Sants-Montjuïc",18,"Sants",93,"Superfície_locals",78556
2020,3,"Sants-Montjuïc",18,"Sants",94,"Superfície_locals",75818
2020,3,"Sants-Montjuïc",18,"Sants",95,"Superfície_locals",73581
2020,3,"Sants-Montjuïc",18,"Sants",96,"Superfície_locals",80899
2020,3,"Sants-Montjuïc",18,"Sants",97,"Superfície_locals",59496
2020,3,"Sants-Montjuïc",18,"Sants",98,"Superfície_locals",66750
2020,3,"Sants-Montjuïc",18,"Sants",99,"Superfície_locals",55077
2020,3,"Sants-Montjuïc",18,"Sants",100,"Superfície_locals",77767
2020,3,"Sants-Montjuïc",18,"Sants",101,"Superfície_locals",86793
2020,3,"Sants-Montjuïc",18,"Sants",102,"Superfície_locals",63702
2020,3,"Sants-Montjuïc",18,"Sants",103,"Superfície_locals",60988
2020,3,"Sants-Montjuïc",18,"Sants",104,"Superfície_locals",75711
2020,3,"Sants-Montjuïc",18,"Sants",105,"Superfície_locals",69708
2020,3,"Sants-Montjuïc",18,"Sants",106,"Superfície_locals",248252
2020,3,"Sants-Montjuïc",18,"Sants",107,"Superfície_locals",159677
2020,3,"Sants-Montjuïc",18,"Sants",108,"Superfície_locals",79138
